id,type,path,name,component,layout,title,caption,icon,is_active,requires_auth,resource_id,postion,created_at,updated_at
1,Menu,/admin/management/contents,AdminManagementContentIndexPage,pages/admin/AdminManagementContentIndexPage.vue,src/layouts/AdminLayout.vue,admin.management.contents.title,admin.management.contents.description,group_work,1,1,2,1,2023-09-15,2023-09-15
2,Menu,/admin/management/tags,AdminManagementTagIndexPage,pages/admin/AdminManagementTagIndexPage.vue,src/layouts/AdminLayout.vue,admin.management.tags.title,admin.management.tags.description,group_work,1,1,2,2,2023-09-15,2023-09-15
3,Menu,/admin/management/media,AdminManagementMediaIndexPage,pages/admin/AdminManagementMediaIndexPage.vue,src/layouts/AdminLayout.vue,admin.management.media.title,admin.management.media.description,group_work,1,1,2,3,2023-09-15,2023-09-15
4,Menu,/admin/management/comments,AdminManagementCommentIndexPage,pages/admin/AdminManagementCommentIndexPage.vue,src/layouts/AdminLayout.vue,admin.management.comments.title,admin.management.comments.description,group_work,1,1,2,4,2023-09-15,2023-09-15
5,Menu,/admin/management/appreciations,AdminManagementAppreciationIndexPage,pages/admin/AdminManagementAppreciationIndexPage.vue,src/layouts/AdminLayout.vue,admin.management.appreciations.title,admin.management.appreciations.description,group_work,1,1,2,5,2023-09-15,2023-09-15
6,Menu,/admin/communication/contact,AdminCommunicationContactIndexPage,pages/admin/AdminCommunicationContactIndexPage.vue,src/layouts/AdminLayout.vue,admin.communication.contact.title,admin.communication.contact.description,null,1,1,3,6,2023-09-15,2023-09-15
7,Menu,/admin/communication/newsletter,AdminCommunicationNewsletterIndexPage,pages/admin/AdminCommunicationNewsletterIndexPage.vue,src/layouts/AdminLayout.vue,admin.communication.newsletter.title,admin.communication.newsletter.description,null,1,1,3,7,2023-09-15,2023-09-15
8,Menu,/admin/communication/reviews,AdminCommunicationReviewsIndexPage,pages/admin/AdminCommunicationReviewsIndexPage.vue,src/layouts/AdminLayout.vue,admin.communication.review.title,admin.communication.review.description,null,1,1,3,8,2023-09-15,2023-09-15
9,Menu,/admin/settings/user-profile,AdminSettingUserProfilePage,pages/admin/AdminSettingUserProfilePage.vue,src/layouts/AdminLayout.vue,admin.settings.user_profile.title,admin.settings.user_profile.description,null,1,1,5,16,2023-09-15,2023-09-15
10,Menu,/admin/settings/users,AdminSettingUserIndexPage,pages/admin/AdminSettingUserIndexPage.vue,src/layouts/AdminLayout.vue,admin.settings.user.title,admin.settings.user.description,null,1,1,5,15,2023-09-15,2023-09-15
11,Menu,/admin/settings/roles-and-permissions,AdminSettingRoleAndPermissionIndexPage,pages/admin/AdminSettingRoleAndPermissionIndexPage.vue,src/layouts/AdminLayout.vue,admin.settings.roles_and_permission.title,admin.settings.roles_and_permission.description,null,1,1,5,13,2023-09-15,2023-09-15
12,Menu,/admin/settings/general,AdminSettingGeneralIndexPage,pages/admin/AdminSettingGeneralIndexPage.vue,src/layouts/AdminLayout.vue,admin.settings.general.title,admin.settings.general.description,null,1,1,5,11,2023-09-15,2023-09-15
13,Menu,/admin/settings/accepted-domains,AdminSettingAcceptedDomainIndexPage,pages/admin/AdminSettingAcceptedDomainIndexPage.vue,src/layouts/AdminLayout.vue,admin.settings.accepted_domain.title,admin.settings.accepted_domain.description,null,1,1,5,9,2023-09-15,2023-09-15
14,Menu,/admin/settings/notifications,AdminSettingNotificationIndexPage,pages/admin/AdminSettingNotificationIndexPage.vue,src/layouts/AdminLayout.vue,admin.settings.notification.title,admin.settings.notification.description,null,1,1,5,12,2023-09-15,2023-09-15
15,Menu,/admin/settings/templates,AdminSettingTemplateIndexPage,pages/admin/AdminSettingTemplateIndexPage.vue,src/layouts/AdminLayout.vue,admin.settings.template.title,admin.settings.template.description,null,1,1,5,14,2023-09-15,2023-09-15
16,Menu,/admin/settings/configuration/resources,AdminSettingConfigurationResourceIndexPage,pages/admin/AdminSettingConfigurationResourceIndexPage.vue,src/layouts/AdminLayout.vue,admin.settings.configuration.resources.title,admin.settings.configuration.resources.description,null,1,1,5,10,2023-09-15,2023-09-15